"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Deprecated","Price Difference Account/Company/ID","Price Difference Account/Company/Company Name"
"ဖော့ပြား","3392","Standard Price","Manual","","","","","","",""
"ဖော့ဘူး","3292","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"ဘိုထိုင်ကြွေအိုး","358","Standard Price","Automated","","","","","","",""
"မီးသတ်ဆေးဘူး","289","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"မီးအားမြှင့်စက်","682","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"မုန့်စင်","642","Standard Price","Automated","","","","","","",""
"ရာဘာခံခွက်","650","Standard Price","Automated","","","","","","",""
"ရေခဲပုံး","303","Standard Price","Automated","","","","","","",""
"ရေခဲမုန့်ဇွန်း","3279","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"ရေချိုးခန်းမှန်","3282","Standard Price","Automated","","","","","","",""
"ရေတိုင်ကီ Group","2878","Standard Price","Automated","","","","","","",""
"ရေတိုင်ကီ Group / Mango ရေတိုင်ကီ","2873","Standard Price","Automated","","","","","","",""
"ရေတိုင်ကီ Group / ရေတိုင်ကီ","351","Standard Price","Automated","","","","","","",""
"ရေဖြန်းခေါင်း","3299","Standard Price","Manual","","","","","","",""
"ရေသန့်ဘူး","609","Standard Price","Automated","","","","","","",""
"ရွှေဘူး","649","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"လမ်းဘလောက်တုံး","644","Standard Price","Automated","","","","","","",""
"သော့ချိတ်","631","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"သံခုံ","643","Standard Price","Automated","","","","","","",""
"သံစားပွဲ","635","Standard Price","Automated","","","","","","",""
"သံစားပွဲ Group","1908","Standard Price","Automated","","","","","","",""
"အိမ်သာခွက်","595","Standard Price","Automated","","","","","","",""
"အိမ်သာပိုက်","343","Standard Price","Automated","","","","","","",""
"အ၀တ်လှန်းစင်","639","Standard Price","Automated","","","","","","",""
